Event,Location,Date
Angular Global Summit,Online,"June 1-2, 2021"
ng-conf,Online,"April 12-15 (workshops), April 22-23 (conference), 2021"
ng-china,Online,"November 21-22, 2020"
EnterpriseNG,Online,"November 19-20, 2020"
ngrome,Online,"October 20, 2020"
DevReach,Online,"October 19-23, 2020"
ngVikings,"Oslo, Norway","May 25-26 (conference), May 27 (workshops), 2020"
ng-conf,"Salt Lake City, Utah","April 1-3, 2020"
ngIndia,"Delhi, India","February 29, 2020"
ReactiveConf,"Prague, Czech Republic","October 30 - November 1, 2019"
NG Rome MMXIX,"Rome, Italy","October 6 (workshops), October 7 (conference), 2019"
AngularConnect,"London, UK","September 19-20, 2019"
NG-DE,"Berlin, Germany","August 29 (workshops), August 30-31 (conference), 2019"
ng-japan,"Tokyo, Japan","July 13, 2019"
ngVikings,"Copenhagen, Denmark","May 26 (workshops), May 27-28 (conference), 2019"
ng-conf,"Salt Lake City, Utah","May 1-3, 2019"
ng-India,"Gurgaon, India","February 23, 2019"
ngAtlanta,"Atlanta, Georgia","January 9-12, 2019"
AngularConnect,"London, United Kingdom","November 5-7, 2018"
ReactiveConf,"Prague, Czech Republic","October 29-31, 2018"
AngularMix,"Orlando, Florida","October 10-12, 2018"
Angular Conf Australia,"Melbourne, Australia","June 22, 2018"
ng-japan,"Tokyo, Japan","June 16, 2018"
WeAreDevelopers,"Vienna, Austria","May 16-18, 2018"
ng-conf,"Salt Lake City, Utah","April 18-20, 2018"
ngVikings,"Helsinki, Finland","March 1-2, 2018"
ngAtlanta,"Atlanta, Georgia","January 30, 2018"
